season,player_id,player_name,matches,minutes_total,minutes_avg,rating_avg,starts,sub_apps
2024,439578,David Otorbi,2,13.0,13.0,6.3,0,2
2024,440748,Alvaro Killane,2,0.0,,,0,2
2024,441232,Guillermo Fernández,1,0.0,,,0,1
2024,441244,Andrés Cuenca,1,0.0,,,0,1
2024,442188,Iker Cordoba,1,0.0,,,0,1
2024,442188,Iker Córdoba,1,0.0,,,0,1
2024,443162,Jesus Rodriguez,1,0.0,,,0,1
2024,453885,Aboubacar Bassinga,3,11.0,11.0,6.5,0,3
2024,456619,Manu González,1,0.0,,,0,1
2024,465838,Alberto Risco,4,36.0,18.0,6.449999999999999,0,4
2024,478243,Marco de las Sías,2,0.0,,,0,2
2024,481993,Valentín Pezzolesi,1,0.0,,,0,1
2024,482071,Diego Ferrer,1,0.0,,,0,1
2024,482473,Marc Domenech,6,115.0,38.333333333333336,6.566666666666666,2,4
2024,486068,Víctor Puig,1,0.0,,,0,1
