fixture_id,team_id,team_name,formation,coach_id,coach_name,player_id,player_name,player_number,player_pos,player_grid,is_starter,ingestion_date,source_file
1208516,541,Real Madrid,4-2-3-1,2407,C. Ancelotti,754,L. Modrić,10,M,4:2,True,2026-05-04,raw/api_football/fixture_lineups/2026-04-29/fixture_1208516_lineups.json
1208516,541,Real Madrid,4-2-3-1,2407,C. Ancelotti,762,Vinícius Júnior,7,M,4:1,True,2026-05-04,raw/api_football/fixture_lineups/2026-04-29/fixture_1208516_lineups.json
1208516,541,Real Madrid,4-2-3-1,2407,C. Ancelotti,278,K. Mbappé,9,F,5:1,True,2026-05-04,raw/api_football/fixture_lineups/2026-04-29/fixture_1208516_lineups.json
1208516,541,Real Madrid,4-2-3-1,2407,C. Ancelotti,10009,Rodrygo,11,F,,False,2026-05-04,raw/api_football/fixture_lineups/2026-04-29/fixture_1208516_lineups.json
1208516,541,Real Madrid,4-2-3-1,2407,C. Ancelotti,736,Fran García,20,D,,False,2026-05-04,raw/api_football/fixture_lineups/2026-04-29/fixture_1208516_lineups.json
1208516,541,Real Madrid,4-2-3-1,2407,C. Ancelotti,291964,A. Güler,15,M,,False,2026-05-04,raw/api_football/fixture_lineups/2026-04-29/fixture_1208516_lineups.json
1208516,541,Real Madrid,4-2-3-1,2407,C. Ancelotti,733,Dani Carvajal,2,D,,False,2026-05-04,raw/api_football/fixture_lineups/2026-04-29/fixture_1208516_lineups.json
1208516,541,Real Madrid,4-2-3-1,2407,C. Ancelotti,377122,Endrick,16,F,,False,2026-05-04,raw/api_football/fixture_lineups/2026-04-29/fixture_1208516_lineups.json
1208516,541,Real Madrid,4-2-3-1,2407,C. Ancelotti,396475,Fran González,26,G,,False,2026-05-04,raw/api_football/fixture_lineups/2026-04-29/fixture_1208516_lineups.json
1208516,541,Real Madrid,4-2-3-1,2407,C. Ancelotti,386305,Jacobo Ramón,31,D,,False,2026-05-04,raw/api_football/fixture_lineups/2026-04-29/fixture_1208516_lineups.json
1208516,541,Real Madrid,4-2-3-1,2407,C. Ancelotti,748,Dani Ceballos,19,M,,False,2026-05-04,raw/api_football/fixture_lineups/2026-04-29/fixture_1208516_lineups.json
1208516,541,Real Madrid,4-2-3-1,2407,C. Ancelotti,47400,A. Lunin,13,G,,False,2026-05-04,raw/api_football/fixture_lineups/2026-04-29/fixture_1208516_lineups.json
